Testname,Listener,Trial,Condition,Ratingscore
SiSEC08,Listener_18,female_inst_sim_4,Algo24,48
SiSEC08,Listener_18,female_inst_sim_4,Algo25,38
SiSEC08,Listener_18,female_inst_sim_4,Algo27,45
SiSEC08,Listener_18,female_inst_sim_4,Algo30,47
SiSEC08,Listener_18,female_inst_sim_4,Algo32,22
SiSEC08,Listener_18,female_inst_sim_4,Algo34,19
SiSEC08,Listener_18,female_inst_sim_4,anchor,0
SiSEC08,Listener_18,male_inst_sim_1,orig,100
SiSEC08,Listener_18,male_inst_sim_1,Algo8,53
SiSEC08,Listener_18,male_inst_sim_1,Algo21,51
SiSEC08,Listener_18,male_inst_sim_1,Algo22,59
SiSEC08,Listener_18,male_inst_sim_1,Algo24,54
SiSEC08,Listener_18,male_inst_sim_1,Algo25,31
SiSEC08,Listener_18,male_inst_sim_1,Algo27,51
SiSEC08,Listener_18,male_inst_sim_1,Algo30,50
SiSEC08,Listener_18,male_inst_sim_1,Algo32,45
SiSEC08,Listener_18,male_inst_sim_1,Algo34,42
SiSEC08,Listener_18,male_inst_sim_1,anchor,0
SiSEC08,Listener_18,male_inst_sim_2,orig,100
SiSEC08,Listener_18,male_inst_sim_2,Algo8,43
SiSEC08,Listener_18,male_inst_sim_2,Algo21,39
SiSEC08,Listener_18,male_inst_sim_2,Algo22,44
SiSEC08,Listener_18,male_inst_sim_2,Algo24,47
SiSEC08,Listener_18,male_inst_sim_2,Algo25,37
SiSEC08,Listener_18,male_inst_sim_2,Algo27,43
SiSEC08,Listener_18,male_inst_sim_2,Algo30,41
SiSEC08,Listener_18,male_inst_sim_2,Algo32,26
SiSEC08,Listener_18,male_inst_sim_2,Algo34,30
SiSEC08,Listener_18,male_inst_sim_2,anchor,0
SiSEC08,Listener_18,male_inst_sim_3,orig,100
SiSEC08,Listener_18,male_inst_sim_3,Algo8,43
SiSEC08,Listener_18,male_inst_sim_3,Algo21,41
SiSEC08,Listener_18,male_inst_sim_3,Algo22,49
SiSEC08,Listener_18,male_inst_sim_3,Algo24,42
SiSEC08,Listener_18,male_inst_sim_3,Algo25,37
